GeoFips,GeoName,2017,2018,2019,2020,2021,2022
00998,United States (Metropolitan Portion),17619114703,18160699656,18625722380,18212598753,19311168551,19713767389
10180,"Abilene, TX (Metropolitan Statistical Area)",6827152,7141273,7426609,7354374,7573774,7894587
10420,"Akron, OH (Metropolitan Statistical Area)",36424857,36883382,37471099,36099097,37510049,37703093
10500,"Albany, GA (Metropolitan Statistical Area)",5693673,5702355,5839867,5797644,6068572,6096378
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",4505965,4802294,4921026,4788775,4893295,4996612
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",61024034,61119269,64250467,62574116,66759654,68358828
10740,"Albuquerque, NM (Metropolitan Statistical Area)",41881258,42671307,43913664,43194744,45285850,46217770
10780,"Alexandria, LA (Metropolitan Statistical Area)",6081708,6161095,6146501,6020969,6127753,6018123
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",44541436,44764523,46551226,44681775,46291035,46645419
11020,"Altoona, PA (Metropolitan Statistical Area)",5849536,5944931,6080921,5915856,6114417,6106454
11100,"Amarillo, TX (Metropolitan Statistical Area)",13044032,13439341,13720828,13809049,14317913,14333013
11180,"Ames, IA (Metropolitan Statistical Area)",6445208,6563479,6654268,6569456,6851748,6824887
11260,"Anchorage, AK (Metropolitan Statistical Area)",25842697,26029809,25950062,25373518,26090195,26076646
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",24040003,24649772,25481406,24988323,26314261,26780892
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4244400,4342966,4555074,4461364,4624647,4608415
11540,"Appleton, WI (Metropolitan Statistical Area)",13810008,14241692,14583478,13938476,14309091,14195868
11700,"Asheville, NC (Metropolitan Statistical Area)",19857995,20527515,21417415,20262554,21458369,22106552
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",9980018,10330759,10263944,9826824,10364639,10603877
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",398208502,413028711,429945844,414749739,442449357,455333217
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",13521560,13616155,13791800,12986077,14017564,14199892
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",6138724,6112260,6342058,6187153,6561345,6860502
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",27076189,27499759,27974192,27765735,28260356,28397603
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",141102903,149306992,158684309,163074856,180240561,193632474
12540,"Bakersfield, CA (Metropolitan Statistical Area)",43812095,43894460,45414089,45439983,45334031,43822046
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",198332437,200409767,201674700,194651261,204204808,208025373
12620,"Bangor, ME (Metropolitan Statistical Area)",6360893,6599941,6762485,6783030,7003554,7141018
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",12764776,13042121,13537095,12654827,13490964,13771725
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",52326375,55749428,54607468,50510254,51156830,51649199
12980,"Battle Creek, MI (Metropolitan Statistical Area)",6450941,6467348,6411827,6372022,6912586,6984617
13020,"Bay City, MI (Metropolitan Statistical Area)",3539706,3631822,3535699,3549806,3841031,3851098
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",24454169,25657246,25098948,21736691,22261112,21846800
13220,"Beckley, WV (Metropolitan Statistical Area)",3990112,4064980,4184828,3918031,4023333,4237478
13380,"Bellingham, WA (Metropolitan Statistical Area)",11651236,12557637,13655023,14158405,14284199,13584365
13460,"Bend, OR (Metropolitan Statistical Area)",9523750,9881699,10463829,10479459,11519814,11781026
13740,"Billings, MT (Metropolitan Statistical Area)",10233635,10293847,10047428,9851083,10488730,10149285
13780,"Binghamton, NY (Metropolitan Statistical Area)",10763033,10788110,11024592,10409823,10715948,10773238
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",60645897,61853013,62865011,62129272,65260617,66208546
13900,"Bismarck, ND (Metropolitan Statistical Area)",7656673,7518448,7452829,7152114,7387662,7256824
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",7016349,7365216,7264354,7052736,7598638,7911246
14010,"Bloomington, IL (Metropolitan Statistical Area)",14476949,14530626,14906310,12328380,12368351,12402490
14020,"Bloomington, IN (Metropolitan Statistical Area)",7406889,7670488,7588407,7282855,7517075,7783998
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",4409987,4390928,4502269,4284974,4464452,4557086
14260,"Boise City, ID (Metropolitan Statistical Area)",32266790,34798490,36495225,37045260,40145338,42279241
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",433844401,451335935,467519922,460535204,492998949,504104614
14500,"Boulder, CO (Metropolitan Statistical Area) *",26255861,27218834,29675687,29149041,31164647,32366443
14540,"Bowling Green, KY (Metropolitan Statistical Area)",7184469,7130833,7484003,7421699,7933371,8338292
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",11972570,12262750,12396819,12734085,13081004,13211612
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",91838477,90874828,88934335,83855524,87235525,90361060
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",10734203,10950425,11200319,10912927,11660469,12032752
15260,"Brunswick, GA (Metropolitan Statistical Area)",4534646,4697516,4615626,4508473,4810326,4906786
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",66331075,66983121,68811628,66831543,69328962,71301164
15500,"Burlington, NC (Metropolitan Statistical Area)",6087842,6124774,6295903,6302066,6674694,6674713
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",13704166,13933008,14192895,13681245,14582139,15014095
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",7354343,7391917,7535678,7859546,7844387,7671853
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",18122356,17881022,18191600,17171476,18081547,18083356
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",31283529,32564768,33089321,33048241,35789303,37489983
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",4326578,4420708,4430209,4281206,4422321,4416653
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",5592572,5744517,5738902,5490804,5561229,5773378
16180,"Carson City, NV (Metropolitan Statistical Area)",3397457,3474293,3694536,3507173,3582260,3627950
16220,"Casper, WY (Metropolitan Statistical Area)",5594566,5920361,5678124,5070249,5001565,4988595
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",18322704,18657739,18307608,17878743,18846932,18854040
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",6302357,6400028,6238670,5947734,6101218,6162110
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",11567426,11476322,11607622,11410051,11817541,12084721
16620,"Charleston, WV (Metropolitan Statistical Area)",12811681,13532732,12864407,12063490,12391989,12566527
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",41712863,43397855,45108303,44302237,46532802,48651423
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",168119917,171575711,177257582,179456155,190503528,194261991
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",13408130,13679393,13743783,13188918,14344675,14820039
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",29616001,29878030,30328402,30203799,32135319,34002507
16940,"Cheyenne, WY (Metropolitan Statistical Area)",5428708,5727043,6009411,5664112,5986116,5846867
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",674568186,691185754,697333633,659808286,696359946,705658963
17020,"Chico, CA (Metropolitan Statistical Area)",9181452,9272932,9447628,8878582,9070391,9106972
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",145242197,145312363,152466652,149378970,155513292,157023758
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",12303121,12435834,12615947,12692257,13491471,13632128
17420,"Cleveland, TN (Metropolitan Statistical Area)",4678425,4720435,4722087,4866520,5103060,5189432
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",128644607,130644968,133967383,129098200,135547013,138260106
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",6045951,6422914,6575138,6883769,7661498,7948925
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",12461621,12996849,13580356,13563901,14174399,14510248
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",35086959,36241661,37712025,38854813,40926166,41331392
17860,"Columbia, MO (Metropolitan Statistical Area)",9957674,10019553,10422519,10111109,10610366,10611705
17900,"Columbia, SC (Metropolitan Statistical Area)",41010232,41651691,42416718,42243846,44430065,45542683
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",14601270,14626897,14869675,14714617,14919089,14452429
18020,"Columbus, IN (Metropolitan Statistical Area)",6366981,6845733,6780298,6283094,6538720,6996930
18140,"Columbus, OH (Metropolitan Statistical Area)",129945459,131537720,135606719,134047931,143197874,144464484
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",21073008,21758642,22343137,21358158,22092132,21041917
18700,"Corvallis, OR (Metropolitan Statistical Area)",4318847,4519396,4601570,4518078,4721965,4770134
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",14385761,14991042,15862463,16298081,17870178,18345980
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3790007,3852561,3866718,3733268,3745774,3663150
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",483732021,506219605,525852321,519282910,560290164,592452179
19140,"Dalton, GA (Metropolitan Statistical Area)",6885582,6843613,6878107,6669749,7034767,7267848
19180,"Danville, IL (Metropolitan Statistical Area)",3203166,3211115,3200616,3045323,3155857,3225783
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",7382558,7758980,8148786,8102009,8738819,8924207
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",21554709,21409425,21587953,21147871,21649139,21598562
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",42546733,43183270,44585566,43928550,45492566,45837053
19460,"Decatur, AL (Metropolitan Statistical Area)",6090215,6217087,6171068,6296611,6432853,6596915
19500,"Decatur, IL (Metropolitan Statistical Area)",6950487,6752927,6477282,6303815,6870929,7020859
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",20582041,21185572,21617720,21845414,23013290,23588133
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",202210170,211192596,222301876,223271130,239402096,249653294
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",51811153,51930218,53815922,55169453,58996258,57782839
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",256207316,261548084,261186301,250060724,264723150,269531726
20020,"Dothan, AL (Metropolitan Statistical Area)",6355776,6409091,6541798,6593419,6848500,6715726
