series_id,2017-Annual,2018-Annual,2019-Annual,2020-Annual,2021-Annual,2022-Annual
ENU0100150010,37327,38407.0,40344,43147,44015,46578
ENU0100350010,35311,36797.0,38293,41373,44077,47019
ENU0100550010,35752,38208.0,37376,40604,40256,42697
ENU0100750010,39843,40089.0,42983,45974,45809,48484
ENU0100950010,34611,35611.0,35853,38031,40195,42896
ENU0101150010,33294,35053.0,37292,42089,43427,45412
ENU0101350010,33562,34840.0,35323,38230,39914,42389
ENU0101550010,38932,39672.0,41371,43511,45123,46185
ENU0101750010,36830,38042.0,39053,41108,41937,45477
ENU0101950010,34022,34454.0,35226,36520,38724,41865
ENU0102150010,36739,37804.0,39088,41132,42831,44408
ENU0102350010,47465,50487.0,52081,54183,55231,55605
ENU0102550010,38513,40257.0,41511,43166,46049,48280
ENU0102750010,33356,34271.0,35565,37977,40347,41553
ENU0102950010,42776,44167.0,43013,46935,51380,52505
ENU0103150010,33809,34655.0,35400,38052,40342,43070
ENU0103350010,43301,44410.0,45054,48066,51181,55164
ENU0103550010,35544,35846.0,37218,39425,42038,43524
ENU0103750010,36241,36999.0,36268,39779,42481,48666
ENU0103950010,35671,36363.0,36918,39553,41361,43225
ENU0104150010,34834,36774.0,38568,39904,41328,44793
ENU0104350010,37826,38612.0,39961,42582,45140,48456
ENU0104550010,53450,53763.0,54186,57192,58252,59885
ENU0104750010,36772,37704.0,39966,42565,42886,44128
ENU0104950010,36084,37384.0,38230,40846,43566,46606
ENU0105150010,34739,35236.0,36829,37900,39493,42253
ENU0105350010,38510,39550.0,40659,43150,45583,48776
ENU0105550010,36076,36602.0,37701,41136,41702,43818
ENU0105750010,32648,33264.0,34447,35845,37327,39379
ENU0105950010,34917,36588.0,37106,39074,41267,45606
ENU0106150010,32496,33095.0,33787,35047,36563,39003
ENU0106350010,34054,34533.0,34951,36280,39062,41016
ENU0106550010,35662,37135.0,37832,41200,42886,45778
ENU0106750010,41254,41960.0,43904,47920,49182,50634
ENU0106950010,40934,42724.0,43712,46155,48581,50627
ENU0107150010,35367,36177.0,37071,40266,43165,45099
ENU0107350010,54298,56249.0,57422,60696,63229,66355
ENU0107550010,37764,40053.0,41177,42537,43601,46692
ENU0107750010,34445,35023.0,36074,39272,40862,43118
ENU0107950010,33517,34975.0,35733,39260,41552,43988
ENU0108150010,38581,39428.0,40719,44074,45821,48688
ENU0108350010,47346,49745.0,49587,52556,53832,55275
ENU0108550010,46187,45307.0,47913,49093,49267,63310
ENU0108750010,41386,42626.0,44345,47223,49151,52156
ENU0108950010,57598,59421.0,62193,68097,69132,71596
ENU0109150010,39028,40319.0,41765,44527,47590,49075
ENU0109350010,34218,35918.0,36249,38114,41209,44427
ENU0109550010,35082,36476.0,37621,40207,42631,44971
ENU0109750010,46524,47541.0,48620,51767,54346,57125
ENU0109950010,41725,43025.0,43370,46186,48993,50448
ENU0110150010,45085,45945.0,47778,51151,53034,56146
ENU0110350010,43898,45245.0,47424,50713,53251,56816
ENU0110550010,30632,31378.0,32591,34304,35814,37190
ENU0110750010,37129,38676.0,39925,41926,43240,46711
ENU0110950010,39504,39826.0,40961,43586,45437,47372
