Metropolitan Statistical Area,2019Rank,2020Rank,2021Rank
"Midland,TX",1,38,6
"SanJoseSunnyvaleSantaClara,CA",2,1,1
"ProvoOrem,UT",3,5,9
"Boulder,CO",4,9,7
"SanFranciscoOaklandHayward,CA",5,,
"AustinRoundRock,TX",6,,
"SeattleTacomaBellevue,WA",7,11,14
"Greeley,CO",8,232,205
"NaplesImmokaleeMarcoIsland,FL",9,,
"St.George,UT",10,4,10
"TheVillages,FL",11,2,5
"BendRedmond,OR",12,,
"Madera,CA",13,26,343
"MountVernonAnacortes,WA",14,250,114
"NashvilleDavidsonMurfreesboroFranklin,TN",15,95,11
"BoiseCity,ID",16,12,20
"IdahoFalls,ID",17,15,42
"SaltLakeCity,UT",18,13,23
"DenverAuroraLakewood,CO",19,59,33
"FortCollins,CO",20,18,25
"FayettevilleSpringdaleRogers,ARMO",21,,
"SantaCruzWatsonville,CA",22,35,40
"OlympiaTumwater,WA",23,,
"Raleigh,NC",24,,
"PalmBayMelbourneTitusville,FL",25,32,77
"DaphneFairhopeFoley,AL",26,73,31
"CapeCoralFortMyers,FL",27,33,26
"OgdenClearfield,UT",28,16,58
"PuntaGorda,FL",30,46,17
"Bellingham,WA",31,89,75
"HiltonHeadIslandBlufftonBeaufort,SC",32,,
"SebastianVeroBeach,FL",33,56,35
"SantaRosa,CA",34,,
"Logan,UTID",35,6,12
"CharlestonNorthCharleston,SC",36,82,61
"DallasFortWorthArlington,TX",37,110,57
"CrestviewFortWaltonBeachDestin,FL",38,20,29
"Coeurd’Alene,ID",39,,
"PortlandVancouverHillsboro,ORWA",40,75,63
"SanLuisObispoPasoRoblesArroyoGrande,CA",41,,
"YubaCity,CA",42,40,91
"PortSt.Lucie,FL",43,37,52
"PhoenixMesaScottsdale,AZ",44,,
"NorthPortSarasotaBradenton,FL",45,36,18
"ColoradoSprings,CO",46,22,49
"Fresno,CA",47,126,162
"Reno,NV",48,14,13
"Napa,CA",49,133,55
"TampaSt.PetersburgClearwater,FL",50,94,46
"SacramentoRosevilleArdenArcade,CA",51,,
"BostonCambridgeNewton,MANH",52,31,22
"AuburnOpelika,AL",53,86,100
"Wilmington,NC",54,25,43
"Huntsville,AL",55,29,84
"AnnArbor,MI",56,83,116
"AtlantaSandySpringsRoswell,GA",57,,
"LasVegasHendersonParadise,NV",58,163,21
"LosAngelesLongBeachAnaheim,CA",59,115,51
"StocktonLodi,CA",60,,
"GrantsPass,OR",61,60,67
"SanAntonioNewBraunfels,TX",62,187,117
"OrlandoKissimmeeSanford,FL",63,125,24
"Trenton,NJ",64,,
"RiversideSanBernardinoOntario,CA",65,67,71
"KennewickRichland,WA",66,137,204
"TwinFalls,ID",67,88,178
"Gainesville,GA",68,90,44
"SanDiegoCarlsbad,CA",69,,
"CollegeStationBryan,TX",70,72,68
"VisaliaPorterville,CA",71,,
"Ocala,FL",72,53,87
"Missoula,MT",73,47,65
"WashingtonArlingtonAlexandria,DCVAMDWV",74,74,113
"Columbia,MO",75,51,120
"Madison,WI",76,57,118
"Jacksonville,FL",77,44,73
"Medford,OR",78,116,145
"Gainesville,FL",79,50,131
"OxnardThousandOaksVentura,CA",80,139,166
"Prescott,AZ",81,,
"SantaMariaSantaBarbara,CA",82,52,53
"SpokaneSpokaneValley,WA",83,101,62
"MiamiFortLauderdaleWestPalmBeach,FL",84,,
"Asheville,NC",85,97,66
"DeltonaDaytonaBeachOrmondBeach,FL",86,87,70
"CharlotteConcordGastonia,NCSC",87,49,74
"PensacolaFerryPassBrent,FL",88,109,148
"BridgeportStamfordNorwalk,CT",89,42,32
"Modesto,CA",90,138,161
"DurhamChapelHill,NC",91,19,50
"Charlottesville,VA",92,63,79
"Bloomington,IN",93,85,144
"Wenatchee,WA",94,156,259
"Salem,OR",95,66,96
"VallejoFairfield,CA",96,,
"Longview,WA",97,121,98
"CarsonCity,NV",98,91,130
"Wichita,KS",99,302,291
"OmahaCouncilBluffs,NEIA",100,114,147
"Yakima,WA",101,146,326
"PortlandSouthPortland,ME",102,41,69
"ShermanDenison,TX",103,134,167
"Abilene,TX",104,130,175
"Merced,CA",105,161,307
"Rochester,MN",106,112,122
"Jonesboro,AR",107,132,134
"Lancaster,PA",108,127,101
"IndianapolisCarmelAnderson,IN",109,106,112
"LakelandWinterHaven,FL",110,39,102
"KilleenTemple,TX",111,173,229
"Chattanooga,TNGA",112,162,95
"DesMoinesWestDesMoines,IA",113,65,108
"Salisbury,MDDE",114,151,160
"PhiladelphiaCamdenWilmington,PANJDEMD",115,111,90
"GrandJunction,CO",116,178,103
"Albany,OR",117,,
"Redding,CA",118,108,155
"BaltimoreColumbiaTowson,MD",119,174,186
"Springfield,MO",120,175,115
"NewYorkNewarkJerseyCity,NYNJPA",121,78,47
"Tucson,AZ",122,135,149
"Odessa,TX",123,382,305
"MinneapolisSt.PaulBloomington,MNWI",124,152,141
"AthensClarkeCounty,GA",125,124,200
"BarnstableTown,MA",126,96,41
"Eugene,OR",127,,
"Yuma,AZ",128,58,235
"ManchesterNashua,NH",129,62,60
"Fargo,NDMN",130,147,64
"MyrtleBeachConwayNorthMyrtleBeach,SCNC",131,104,39
"Decatur,AL",132,153,262
"Louisville/JeffersonCounty,KYIN",133,160,127
"Lincoln,NE",134,119,170
"StateCollege,PA",135,240,213
"AllentownBethlehemEaston,PANJ",136,176,94
"GreenvilleAndersonMauldin,SC",137,,
"KansasCity,MOKS",138,123,126
"Salinas,CA",139,255,152
"FortWayne,IN",140,211,169
"CaliforniaLexingtonPark,MD",141,28,220
"OklahomaCity,OK",142,301,231
"Cincinnati,OHKYIN",143,136,137
"StauntonWaynesboro,VA",144,,
"JanesvilleBeloit,WI",145,212,304
"Tallahassee,FL",146,107,123
"WallaWalla,WA",147,226,276
"HarrisburgCarlisle,PA",148,180,183
"Richmond,VA",149,105,142
"Corvallis,OR",150,142,124
"Chico,CA",151,242,324
"Columbus,OH",152,102,97
"Ames,IA",153,177,139
"Savannah,GA",154,166,81
"LakeHavasuCityKingman,AZ",155,48,125
"Pittsburgh,PA",156,266,215
"Lebanon,PA",157,170,164
"Waco,TX",158,191,179
"BirminghamHoover,AL",159,228,132
"Dover,DE",160,100,192
"Tyler,TX",161,186,128
"ChicagoNapervilleElgin,ILINWI",162,218,121
"Worcester,MACT",163,98,93
"GrandRapidsWyoming,MI",164,,
"EauClaire,WI",165,172,185
"AugustaRichmondCounty,GASC",166,149,314
"Pueblo,CO",167,182,206
"Tulsa,OK",168,338,318
"Clarksville,TNKY",169,192,159
"Pocatello,ID",170,61,195
"HanfordCorcoran,CA",171,71,331
"GreatFalls,MT",172,169,243
"Spartanburg,SC",173,129,217
"Jacksonville,NC",174,167,83
"HoustonTheWoodlandsSugarLand,TX",175,245,194
"Lawrence,KS",176,246,225
"Springfield,IL",177,335,242
"IowaCity,IA",178,185,156
"Lubbock,TX",179,195,223
"KalamazooPortage,MI",180,261,119
"GreenBay,WI",181,252,332
"LexingtonFayette,KY",182,233,182
"WarnerRobins,GA",183,118,234
"ElCentro,CA",184,93,222
"Knoxville,TN",185,145,76
"Appleton,WI",186,189,252
"Kingston,NY",187,196,110
"St.Cloud,MN",188,210,129
"SierraVistaDouglas,AZ",189,30,372
"SouthBendMishawaka,INMI",190,318,214
"Columbia,SC",191,168,264
"LewistonAuburn,ME",192,214,233
"ChampaignUrbana,IL",193,128,193
"Dothan,AL",194,222,202
"Valdosta,GA",195,239,335
"Cheyenne,WY",196,183,269
"Burlington,NC",197,113,88
"Reading,PA",198,310,286
"RockyMount,NC",199,366,368
"St.Louis,MOIL",200,237,237
"Wausau,WI",201,,
"Evansville,INKY",202,230,261
"Kankakee,IL",203,200,273
"JeffersonCity,MO",204,194,354
"AlbanySchenectadyTroy,NY",205,122,85
"UrbanHonolulu,HI",206,316,244
"OshkoshNeenah,WI",207,323,309
"Harrisonburg,VA",208,164,254
"Dayton,OH",209,,
"EastStroudsburg,PA",210,154,212
"Sheboygan,WI",211,224,330
"LafayetteWestLafayette,IN",212,199,250
"HartfordWestHartfordEastHartford,CT",213,,
"Billings,MT",214,171,172
"Columbus,IN",215,360,184
"BatonRouge,LA",216,356,328
"Tuscaloosa,AL",217,311,296
"VirginiaBeachNorfolkNewportNews,VANC",218,221,258
"Lima,OH",219,260,339
"PanamaCity,FL",220,148,143
"JohnsonCity,TN",221,150,99
"DetroitWarrenDearborn,MI",222,234,111
"McAllenEdinburgMission,TX",223,269,209
"Morristown,TN",224,322,158
"Albuquerque,NM",225,208,163
"Sebring,FL",226,,
"Muncie,IN",227,259,361
"Amarillo,TX",228,229,257
"Bakersfield,CA",229,131,274
"NewHavenMilford,CT",230,155,106
"MankatoNorthMankato,MN",231,,
"LakeCharles,LA",232,369,373
"LaCrosseOnalaska,WIMN",233,188,302
"ChambersburgWaynesboro,PA",234,290,278
"MilwaukeeWaukeshaWestAllis,WI",235,,
"Cleveland,TN",236,319,320
"HotSprings,AR",237,207,292
"BurlingtonSouthBurlington,VT",238,144,140
"Florence,SC",239,289,312
"LittleRockNorthLittleRockConway,AR",240,220,251
"Gettysburg,PA",241,270,275
"ProvidenceWarwick,RIMA",242,181,136
"BlacksburgChristiansburgRadford,VA",243,,
"FondduLac,WI",244,299,301
"Bangor,ME",245,223,260
"LansingEastLansing,MI",246,225,174
"SanAngelo,TX",247,320,218
"ClevelandElyria,OH",248,204,176
"WichitaFalls,TX",249,340,265
"GrandForks,NDMN",250,198,321
"ElPaso,TX",251,215,249
"WeirtonSteubenville,WVOH",252,337,362
"NewBern,NC",253,243,295
"Lawton,OK",254,354,364
"Dubuque,IA",255,294,154
"Hammond,LA",256,99,216
"FlorenceMuscleShoals,AL",257,202,294
"BuffaloCheektowagaNiagaraFalls,NY",258,,
"SantaFe,NM",259,247,80
"BowlingGreen,KY",260,263,201
"HickoryLenoirMorganton,NC",261,283,187
"Greenville,NC",262,262,189
"YorkHanover,PA",263,307,188
"HomosassaSprings,FL",264,231,105
"Jackson,TN",265,206,190
"NewOrleansMetairie,LA",266,315,289
"Toledo,OH",267,297,221
"Roanoke,VA",268,265,327
"Brunswick,GA",269,267,165
"Memphis,TNMSAR",270,219,135
"Montgomery,AL",271,276,299
"Duluth,MNWI",272,345,347
"Morgantown,WV",273,184,334
"Lewiston,IDWA",274,120,246
"Bismarck,ND",275,293,248
"HagerstownMartinsburg,MDWV",276,159,271
"Sumter,SC",277,278,333
"Flint,MI",278,330,230
"Hattiesburg,MS",279,288,298
"LasCruces,NM",280,277,268
"Hinesville,GA",281,332,288
"MaconBibbCounty,GA",282,350,287
"WinstonSalem,NC",283,308,153
"Lynchburg,VA",284,317,360
"Binghamton,NY",285,285,197
"BrownsvilleHarlingen,TX",286,296,191
"FortSmith,AROK",287,347,282
"Beckley,WV",288,367,370
"Altoona,PA",289,306,255
"Texarkana,TXAR",290,331,365
"NorwichNewLondon,CT",291,305,157
"ShreveportBossierCity,LA",292,341,279
"Springfield,MA",293,209,173
"MichiganCityLaPorte,IN",294,304,316
"Syracuse,NY",295,251,199
"Racine,WI",296,275,284
"AnnistonOxfordJacksonville,AL",297,,
"GrandIsland,NE",298,268,232
"Manhattan,KS",299,249,311
"Casper,WY",300,375,353
"DavenportMolineRockIsland,IAIL",301,213,283
"Monroe,LA",302,357,375
"Columbus,GAAL",303,256,341
"UticaRome,NY",304,282,210
"Springfield,OH",305,336,146
"ElizabethtownFortKnox,KY",306,314,323
"NilesBentonHarbor,MI",307,,
"GulfportBiloxiPascagoula,MS",308,,
"Jackson,MI",309,248,150
"GreensboroHighPoint,NC",310,292,277
"Alexandria,LA",311,321,338
"OceanCity,NJ",312,69,16
"AtlanticCityHammonton,NJ",313,77,54
"Akron,OH",314,279,245
"Ithaca,NY",315,346,207
"BloomsburgBerwick,PA",316,312,226
