Metropolitan Statistical Area,2019Rank,2020Rank,2021Rank
"Midland,TX",1.0,38.0,6.0
"SanJoseSunnyvaleSantaClara,CA",2.0,1.0,1.0
"ProvoOrem,UT",3.0,5.0,9.0
"Boulder,CO",4.0,9.0,7.0
"SanFranciscoOaklandHayward,CA",5.0,3.0,3.0
"AustinRoundRock,TX",6.0,7.0,4.0
"SeattleTacomaBellevue,WA",7.0,11.0,14.0
"Greeley,CO",8.0,232.0,205.0
"NaplesImmokaleeMarcoIsland,FL",9.0,10.0,8.0
"St.George,UT",10.0,4.0,10.0
"TheVillages,FL",11.0,2.0,5.0
"BendRedmond,OR",12.0,8.0,15.0
"Madera,CA",13.0,26.0,343.0
"MountVernonAnacortes,WA",14.0,250.0,114.0
"NashvilleDavidsonMurfreesboroFranklin,TN",15.0,95.0,11.0
"BoiseCity,ID",16.0,12.0,20.0
"IdahoFalls,ID",17.0,15.0,42.0
"SaltLakeCity,UT",18.0,13.0,23.0
"DenverAuroraLakewood,CO",19.0,59.0,33.0
"FortCollins,CO",20.0,18.0,25.0
"SantaCruzWatsonville,CA",22.0,35.0,40.0
"PalmBayMelbourneTitusville,FL",25.0,32.0,77.0
"DaphneFairhopeFoley,AL",26.0,73.0,31.0
"CapeCoralFortMyers,FL",27.0,33.0,26.0
"OgdenClearfield,UT",28.0,16.0,58.0
"PuntaGorda,FL",30.0,46.0,17.0
"Bellingham,WA",31.0,89.0,75.0
"HiltonHeadIslandBlufftonBeaufort,SC",32.0,54.0,86.0
"SebastianVeroBeach,FL",33.0,56.0,35.0
"Logan,UTID",35.0,6.0,12.0
"CharlestonNorthCharleston,SC",36.0,82.0,61.0
"DallasFortWorthArlington,TX",37.0,110.0,57.0
"CrestviewFortWaltonBeachDestin,FL",38.0,20.0,29.0
"Coeurd’Alene,ID",39.0,17.0,27.0
"PortlandVancouverHillsboro,ORWA",40.0,75.0,63.0
"SanLuisObispoPasoRoblesArroyoGrande,CA",41.0,117.0,104.0
"YubaCity,CA",42.0,40.0,91.0
"PortSt.Lucie,FL",43.0,37.0,52.0
