geography,geography_label.value,quarter,firmage_label.value,Emp_Bachelor,Emp_HS,Emp_LessThanHS,Emp_Associates
22220,"Fayetteville-Springdale-Rogers, AR",1,0-1 Years,883,1283,710,1277
22220,"Fayetteville-Springdale-Rogers, AR",4,4-5 Years,1277,1600,906,1667
22220,"Fayetteville-Springdale-Rogers, AR",4,2-3 Years,1094,1439,825,1468
22220,"Fayetteville-Springdale-Rogers, AR",4,0-1 Years,1216,1587,873,1627
22220,"Fayetteville-Springdale-Rogers, AR",3,2-3 Years,1103,1421,846,1451
22220,"Fayetteville-Springdale-Rogers, AR",3,0-1 Years,1130,1472,798,1516
22220,"Fayetteville-Springdale-Rogers, AR",3,4-5 Years,1297,1606,918,1705
22220,"Fayetteville-Springdale-Rogers, AR",2,2-3 Years,1073,1387,822,1430
22220,"Fayetteville-Springdale-Rogers, AR",2,0-1 Years,1090,1432,789,1474
22220,"Fayetteville-Springdale-Rogers, AR",1,4-5 Years,1233,1498,859,1561
22220,"Fayetteville-Springdale-Rogers, AR",1,2-3 Years,1053,1371,789,1394
22220,"Fayetteville-Springdale-Rogers, AR",2,4-5 Years,1244,1493,849,1577
22900,"Fort Smith, AR-OK (AR part)",3,2-3 Years,342,530,278,552
22900,"Fort Smith, AR-OK (AR part)",4,4-5 Years,409,738,350,788
22900,"Fort Smith, AR-OK (AR part)",4,2-3 Years,350,546,294,561
22900,"Fort Smith, AR-OK (AR part)",4,0-1 Years,296,496,254,490
22900,"Fort Smith, AR-OK (AR part)",3,4-5 Years,423,766,368,810
22900,"Fort Smith, AR-OK (AR part)",3,0-1 Years,276,494,246,501
22900,"Fort Smith, AR-OK (AR part)",1,4-5 Years,396,708,335,779
22900,"Fort Smith, AR-OK (AR part)",2,2-3 Years,330,519,283,541
22900,"Fort Smith, AR-OK (AR part)",2,0-1 Years,318,548,264,566
22900,"Fort Smith, AR-OK (AR part)",1,2-3 Years,316,537,296,550
22900,"Fort Smith, AR-OK (AR part)",1,0-1 Years,318,527,253,546
22900,"Fort Smith, AR-OK (AR part)",2,4-5 Years,412,732,347,795
25060,"Gulfport-Biloxi, MS",3,2-3 Years,905,1428,772,1485
25060,"Gulfport-Biloxi, MS",4,4-5 Years,669,1118,653,1173
25060,"Gulfport-Biloxi, MS",4,2-3 Years,907,1412,753,1497
25060,"Gulfport-Biloxi, MS",4,0-1 Years,577,961,592,985
25060,"Gulfport-Biloxi, MS",3,0-1 Years,547,933,560,962
25060,"Gulfport-Biloxi, MS",3,4-5 Years,669,1148,685,1219
25060,"Gulfport-Biloxi, MS",2,2-3 Years,888,1406,759,1447
25060,"Gulfport-Biloxi, MS",2,0-1 Years,507,882,532,903
25060,"Gulfport-Biloxi, MS",2,4-5 Years,717,1185,695,1250
25060,"Gulfport-Biloxi, MS",1,4-5 Years,724,1155,680,1230
25060,"Gulfport-Biloxi, MS",1,2-3 Years,839,1339,712,1359
25060,"Gulfport-Biloxi, MS",1,0-1 Years,479,780,496,828
25620,"Hattiesburg, MS",4,2-3 Years,235,329,193,340
25620,"Hattiesburg, MS",4,0-1 Years,213,339,187,318
25620,"Hattiesburg, MS",3,4-5 Years,293,497,291,491
25620,"Hattiesburg, MS",3,2-3 Years,234,327,191,340
25620,"Hattiesburg, MS",3,0-1 Years,201,331,197,311
